kon,statistic
88900000.0,100.0
100000000.0,100.0
100000.0,6.0
200000.0,9.0
300000.0,17.0
400000.0,12.0
500000.0,11.0
600000.0,26.0
700000.0,38.0
800000.0,35.0
900000.0,36.0
1000000.0,36.0
100000.0,6.0
100000.0,6.0
100000000.0,100.0
100000000.0,100.0
100000000.0,100.0
100000000.0,100.0
100000.0,6.0
100000000.0,100.0
100000.0,6.0
100000000.0,100.0
100000.0,6.0
150000.0,7.0
200000.0,9.0
250000.0,12.0
300000.0,17.0
400000.0,12.0
500000.0,11.0
600000.0,26.0
750000.0,37.0
1000000.0,36.0
100000000.0,100.0
0.1,0.0
0.5,0.0
1.0,0.0
5.0,0.0
10.0,0.0
100000.0,6.0
150000.0,7.0
200000.0,9.0
250000.0,12.0
300000.0,17.0
400000.0,12.0
500000.0,11.0
600000.0,26.0
750000.0,37.0
1000000.0,36.0
2000000.0,55.0
3000000.0,68.0
5000000.0,85.0
7500000.0,93.0
200000000.0,100.0
500000000.0,100.0
750000000.0,100.0
