kon222,koff,statistic,Run ID,Date,Seed
,0.01,100.0,run_2024-11-29_13-28-09_seed_2,2024-11-29,2
,0.01,100.0,run_2024-11-29_13-28-12_seed_2,2024-11-29,2
,0.01,6.0,run_2024-11-29_13-29-55_seed_2,2024-11-29,2
,0.01,9.0,run_2024-11-29_13-30-01_seed_2,2024-11-29,2
,0.01,17.0,run_2024-11-29_13-30-07_seed_2,2024-11-29,2
,0.01,12.0,run_2024-11-29_13-30-14_seed_2,2024-11-29,2
,0.01,11.0,run_2024-11-29_13-30-21_seed_2,2024-11-29,2
,0.01,26.0,run_2024-11-29_13-30-29_seed_2,2024-11-29,2
,0.01,38.0,run_2024-11-29_13-30-36_seed_2,2024-11-29,2
,0.01,35.0,run_2024-11-29_13-30-44_seed_2,2024-11-29,2
,0.01,36.0,run_2024-11-29_13-30-55_seed_2,2024-11-29,2
,0.01,36.0,run_2024-11-29_13-31-03_seed_2,2024-11-29,2
,0.01,6.0,run_2024-11-29_16-47-32_seed_2,2024-11-29,2
,0.01,6.0,run_2024-11-29_17-03-13_seed_2,2024-11-29,2
,0.01,100.0,run_2024-11-29_17-06-38_seed_2,2024-11-29,2
,0.01,100.0,run_2024-12-03_11-05-36_seed_2,2024-12-03,2
,0.01,100.0,run_2025-01-21_10-06-17_seed_2,2025-01-21,2
,0.01,100.0,run_2025-01-21_10-20-27_seed_2,2025-01-21,2
,0.01,6.0,run_2025-01-21_10-20-32_seed_2,2025-01-21,2
,0.01,100.0,run_2025-01-21_10-31-32_seed_2,2025-01-21,2
,0.01,6.0,run_2025-01-21_10-31-36_seed_2,2025-01-21,2
,0.01,100.0,run_2025-01-21_11-27-09_seed_2,2025-01-21,2
,0.01,6.0,run_2025-01-21_11-27-14_seed_2,2025-01-21,2
,0.01,7.0,run_2025-01-21_11-27-26_seed_2,2025-01-21,2
,0.01,9.0,run_2025-01-21_11-27-45_seed_2,2025-01-21,2
,0.01,12.0,run_2025-01-21_11-28-02_seed_2,2025-01-21,2
,0.01,17.0,run_2025-01-21_11-28-15_seed_2,2025-01-21,2
,0.01,12.0,run_2025-01-21_11-28-28_seed_2,2025-01-21,2
,0.01,11.0,run_2025-01-21_11-28-44_seed_2,2025-01-21,2
,0.01,26.0,run_2025-01-21_11-28-58_seed_2,2025-01-21,2
,0.01,37.0,run_2025-01-21_11-29-15_seed_2,2025-01-21,2
,0.01,36.0,run_2025-01-21_11-29-28_seed_2,2025-01-21,2
,0.01,100.0,run_2025-01-21_11-43-11_seed_2,2025-01-21,2
,0.01,0.0,run_2025-01-21_11-43-17_seed_2,2025-01-21,2
,0.01,0.0,run_2025-01-21_11-43-31_seed_2,2025-01-21,2
,0.01,0.0,run_2025-01-21_11-43-49_seed_2,2025-01-21,2
,0.01,0.0,run_2025-01-21_11-44-07_seed_2,2025-01-21,2
,0.01,0.0,run_2025-01-21_11-44-29_seed_2,2025-01-21,2
,0.01,6.0,run_2025-01-21_11-44-48_seed_2,2025-01-21,2
,0.01,7.0,run_2025-01-21_11-45-07_seed_2,2025-01-21,2
,0.01,9.0,run_2025-01-21_11-45-23_seed_2,2025-01-21,2
