kon222,koff,statistic
,0.01,100.0
,0.01,100.0
,0.01,6.0
,0.01,9.0
,0.01,17.0
,0.01,12.0
,0.01,11.0
,0.01,26.0
,0.01,38.0
,0.01,35.0
,0.01,36.0
,0.01,36.0
,0.01,6.0
,0.01,6.0
,0.01,100.0
,0.01,100.0
,0.01,100.0
,0.01,100.0
,0.01,6.0
,0.01,100.0
,0.01,6.0
,0.01,100.0
,0.01,6.0
,0.01,7.0
,0.01,9.0
,0.01,12.0
,0.01,17.0
,0.01,12.0
,0.01,11.0
,0.01,26.0
,0.01,37.0
,0.01,36.0
,0.01,100.0
,0.01,0.0
,0.01,0.0
,0.01,0.0
,0.01,0.0
,0.01,0.0
,0.01,6.0
,0.01,7.0
,0.01,9.0
,0.01,12.0
,0.01,17.0
,0.01,12.0
,0.01,11.0
,0.01,26.0
,0.01,37.0
,0.01,36.0
,0.01,55.0
,0.01,68.0
,0.01,85.0
,0.01,93.0
,0.01,100.0
,0.01,100.0
,0.01,100.0
,0.01,100.0
,0.01,0.0
,0.01,0.0
,0.01,0.0
,0.01,0.0
1000000000.0,0.1,100.0
100000000.0,0.01,100.0
1000000.0,0.0001,36.0
1000000.0,0.001,36.0
1000000.0,0.01,36.0
1000000.0,0.1,35.0
1000000.0,1.0,24.0
10000000.0,0.0001,95.0
10000000.0,0.001,95.0
10000000.0,0.01,95.0
10000000.0,0.1,92.0
10000000.0,1.0,78.0
100000000.0,0.0001,100.0
100000000.0,0.001,100.0
100000000.0,0.01,100.0
100000000.0,0.1,99.0
100000000.0,1.0,92.0
1000000000.0,0.0001,100.0
1000000000.0,0.001,100.0
1000000000.0,0.01,100.0
1000000000.0,0.1,100.0
1000000000.0,1.0,98.0
10000000000.0,0.0001,100.0
10000000000.0,0.001,100.0
10000000000.0,0.01,100.0
10000000000.0,0.1,100.0
10000000000.0,1.0,98.0
